topic_id	tweet_id	tweet_url	tweet_text	check_worthiness
miscellaneous	1092742203737280512	https://twitter.com/anyuser/status/1092742203737280512	AK Parti’nin İstanbul Hacımaşlı köyünde bir domuz çiftliği kurduğu iddiası Sosyal medyada paylaşılan haberde İstanbul’un Gaziosmanpaşa ilçesinin Hacımaşlı köyünde faaliyet gösteren bir domuz çiftliği olduğu iddia edildi. AK Parti’nin İstanbul Hacımaşlı… https://t.co/EBas8ZP7hr	1
miscellaneous	1088825961494335488	https://twitter.com/anyuser/status/1088825961494335488	"Ahlaksız Herifler... 2009 yılında İsveç'te çekilmiş Domuz çiftliğine ait fotoğrafları alıyor, Bugün ""İşte AKP'nin Gaziosmanpaşa Hacımaşlı köyünde kurduğu domuz çiftliği, çiftliğin suları ve atıkları Sazlıdere... https://t.co/hGmc6PFCoY"	1
miscellaneous	1099957637184217089	https://twitter.com/anyuser/status/1099957637184217089	Hacımaşlı Köyü’nde faaliyette bulunan bir domuz çiftliği bulunmuyor. 1994’te kurulan çiftlik, 2004 yılında kapatılmıştı. https://t.co/iOZtFyPERQ	1
miscellaneous	1139654999422599169	https://twitter.com/anyuser/status/1139654999422599169	Bakan Ersoy: Dünyada mavi bayrak sayısı olarak üçüncü sıradayız https://t.co/RtPBUSN5Qm	1
miscellaneous	1091734824954617858	https://twitter.com/anyuser/status/1091734824954617858	"Dünya genelinde 46 ülkede uygulanan ""Mavi Bayrak Programı"" kapsamında, Türkiye geçen yıl 444 olan Mavi Bayraklı plaj sayısını 454'e yükseltti. Van ise denize kıyısı olmamasına rağmen Mavi Bayraklı plaja sahip olan tek il olarak kayda geçti. @NataliAVAZYAN @EUDelegationTur https://t.co/iauL7Cswz1"	1
miscellaneous	1139604667938136064	https://twitter.com/anyuser/status/1139604667938136064	Kültür ve Turizm Bakanı Ersoy: Biz dünyada mavi bayrak sayısı olarak üçüncü sıradayız. 463 tane mavi bayrağa sahip plajlarımız ve marinalarımız var https://t.co/gdLQWfzfko	1
miscellaneous	1098236286975000577	https://twitter.com/anyuser/status/1098236286975000577	@Mcahidturhan #doksanlar da 20 milyar dolar dış borç vardı şimdi 460 milyar dolar, eğitimde, insani gelişmişlikte ilk 20’deydik şimdi son 20’deyiz. Birisinin tüm serveti bir yüzüktü şimdi 100 milyar dolar	0
miscellaneous	1143905172600418304	https://twitter.com/anyuser/status/1143905172600418304	"""Halkın %56'sı Parlamenter sistemi istiyor  Akepelilerin %87'si MHP'lilerin %59'u da parlamenter sistemi istiyor"" TELE 1 Ana Haber"	0
miscellaneous	1143920965367283713	https://twitter.com/anyuser/status/1143920965367283713	@osefmerik Ahsjsjafg sözkonusu 20 yılın ilk 15'inde kendiside chp'liydi	0
miscellaneous	1082235953585049601	https://twitter.com/anyuser/status/1082235953585049601	Türkiye'nin sadece fon kaynaklı kaybı 2017 yılı sonu itibarıyla 1 milyar doların üzerinde. 2002 yılında 405 bin olan tütün üreticisi sayısı 2018 yılı itibarıyla yüzde 86 azalarak 56 bine geriledi. 2012'ye kadar Türkiye, tütün ihracatçısı iken 2012'den sonra ithalatçı oldu.	0
